1483380226092675077,2022-01-18 10:06:20,"#پاکستان_بدلنا_ہے_تو_نظام_بدلو
@SyedRahmanAhmed

last year in two categories, Rule of Law Index and Varieties of Democracy, due to which Pakistan’s score in CPI 2020 has been reduced by one.","Karachi, Pakistan",3,2
1483388754786013184,2022-01-18 10:40:13,"The country has also scored less than last year in two categories, Rule of Law Index and Varieties of Democracy, due to which Pakistan’s score in CPI 2020 has been reduced by one.
@GURU11JI
@TeamiPians
#پاکستان_بدلنا_ہے_تو_نظام_بدلو","Peshawar, Pakistan",8,1
1483409640452988928,2022-01-18 12:03:13,"The trial of Piers Corbyn and two others over a series of anti-lockdown protests in 2020 has been put back until May. 

The trial - set to be a test of the Met Police use of Covid restrictions - was due to be heard from today but has been delayed to allow further case preparation",London,1,1
1483477016368328704,2022-01-18 16:30:57,Nine-year NBA veteran Chandler Parsons has retired from basketball and his lawsuit from career-ending injuries via car accident in January 2020 has been settled for a substantial amount.,"Chicago, IL",1125,11169
1483513949039603713,2022-01-18 18:57:42,"My first full length project released late 2020 has been surpassed in streams by my new project released late 2021 in the space of 2 months

Progress",,0,0
1483558093405540358,2022-01-18 21:53:07,"I'm just gonna say it.
Every match Edge has had since his return in 2020 has been better than CM Punk's matches since his return last year.","Queens, NY",1,3
1483608673666875394,2022-01-19 01:14:06,"In many respects, 2020 has been an unforgettable year for investors, as stocks began to fall rapidly in February and March, but then rebounded sharply and set new records in the following months. Multiple all-time highs. Enter... #HesIntoHerSeason2 👇👇👇",,0,0
1483630170057494529,2022-01-19 02:39:31,you know 2020 has been a long year when it's 2022 and you're in bed listening to the lonesome crowded west crying like a sloppy little freak,,0,0
1483643395801325568,2022-01-19 03:32:04,So far 2020 has been a shitty ass year,,0,2
1483819673049255939,2022-01-19 15:12:32,"Just heard a friend has covid again, it was his wife who nearly died in 2020 &amp; has been left with serious mental &amp; physical problems, just pray that she’s not reinfected",England,0,1
1483833252745920512,2022-01-19 16:06:30,Every proposal I have submitted since 2020 has been rejected.  (Another went out today.) How long have you gone without some kind of acceptance?  Tell me your horror stories #AcademicTwitter,,0,0
